CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,QUANTIZED_INC,QUANTIZED_AGE,QUANTIZED_WORK_YEAR,target
0,0,0,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11888,-295,1,0,0,0,Security staff,2.0,medium,low,lowest,0
0,0,1,0,270000.0,Working,Secondary / secondary special,Married,With parents,-14754,-2871,1,1,0,0,Laborers,2.0,highest,medium,lowest,0
1,0,0,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-16115,-985,1,0,0,0,Sales staff,2.0,lowest,medium,lowest,0
1,0,1,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-16933,-10384,1,1,1,0,Medicine staff,2.0,lowest,medium,high,0
1,0,1,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18114,-10121,1,0,0,0,High skill tech staff,2.0,highest,high,high,0
1,0,0,0,207000.0,Working,Higher education,Married,House / apartment,-14740,-6723,1,0,1,0,Core staff,2.0,high,medium,medium,1
1,0,0,0,360000.0,Pensioner,Higher education,Married,House / apartment,-20804,365243,1,0,1,0,,2.0,highest,high,lowest,0
0,0,0,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10514,-101,1,1,1,0,Core staff,1.0,medium,lowest,lowest,0
1,0,1,0,202500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21871,365243,1,0,0,0,,1.0,high,highest,lowest,0
0,0,1,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10182,-2403,1,0,0,0,Sales staff,1.0,high,lowest,lowest,0
0,1,0,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-13178,-1317,1,1,0,0,Laborers,2.0,highest,low,lowest,0
1,0,0,0,247500.0,Working,Higher education,Separated,House / apartment,-18696,-1800,1,0,1,0,High skill tech staff,1.0,high,high,lowest,1
1,0,1,1,202500.0,Working,Incomplete higher,Married,House / apartment,-10746,-1100,1,0,1,0,Sales staff,3.0,high,lowest,lowest,1
1,0,1,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21827,365243,1,0,0,0,,2.0,medium,highest,lowest,0
1,1,0,0,405000.0,State servant,Higher education,Single / not married,House / apartment,-20052,-980,1,0,1,0,Managers,1.0,highest,high,lowest,0
1,0,1,2,76500.0,Working,Higher education,Married,House / apartment,-11191,-741,1,0,0,0,Managers,4.0,lowest,low,lowest,0
1,0,1,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-18942,-4854,1,1,0,0,Sales staff,2.0,highest,high,low,0
1,0,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,1,1,1,0,Managers,2.0,low,lowest,lowest,0
0,1,1,0,360000.0,Commercial associate,Incomplete higher,Married,House / apartment,-19834,-477,1,0,0,0,Managers,2.0,highest,high,lowest,0
1,0,1,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253,-3496,1,1,0,0,,3.0,medium,low,low,1
1,0,1,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23596,365243,1,0,0,0,,1.0,medium,highest,lowest,0
1,0,1,2,85500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10081,-249,1,0,0,0,Sales staff,4.0,lowest,lowest,lowest,0
0,1,0,1,315000.0,Commercial associate,Higher education,Married,With parents,-11689,-716,1,1,1,0,High skill tech staff,3.0,highest,low,lowest,0
0,1,1,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-18177,-2263,1,1,1,0,Laborers,2.0,lowest,high,lowest,0
1,0,0,0,135000.0,State servant,Higher education,Single / not married,House / apartment,-10370,-1384,1,1,0,0,Accountants,1.0,low,lowest,lowest,0
1,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21008,365243,1,0,0,0,,2.0,lowest,high,lowest,0
1,1,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-16858,-3124,1,0,0,0,Private service staff,2.0,lowest,medium,lowest,0
1,0,1,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21645,365243,1,0,0,0,,2.0,medium,highest,lowest,0
0,1,0,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18529,-1204,1,0,0,0,Drivers,1.0,low,high,lowest,0
0,0,1,0,180000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-12494,-978,1,0,0,0,Laborers,1.0,medium,low,lowest,0
0,1,1,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-11627,-2128,1,0,0,0,,3.0,medium,low,lowest,0
0,0,1,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947,-137,1,0,0,0,Laborers,2.0,medium,low,lowest,1
1,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21289,365243,1,0,0,0,,2.0,lowest,high,lowest,0
0,1,1,0,211500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21484,-1709,1,0,0,0,Laborers,2.0,high,high,lowest,0
0,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16277,-6979,1,0,0,0,High skill tech staff,2.0,high,medium,medium,0
1,0,0,2,67500.0,State servant,Secondary / secondary special,Married,House / apartment,-10425,-1982,1,0,0,1,,4.0,lowest,lowest,lowest,0
1,0,1,0,157500.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-21791,-5089,1,0,0,0,Accountants,1.0,medium,highest,low,0
0,0,1,0,180000.0,Pensioner,Higher education,Married,House / apartment,-19619,365243,1,0,0,0,,2.0,medium,high,lowest,0
1,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-12446,-645,1,0,0,0,Core staff,2.0,low,low,lowest,0
0,0,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13424,-4754,1,0,0,1,Laborers,2.0,high,low,low,0
1,0,0,0,270000.0,State servant,Secondary / secondary special,Married,House / apartment,-20103,-1444,1,1,1,0,Waiters/barmen staff,2.0,highest,high,lowest,1
1,0,1,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23929,365243,1,0,1,0,,1.0,low,highest,lowest,0
1,1,0,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-18279,-1741,1,0,1,0,Sales staff,2.0,highest,high,lowest,1
0,0,1,0,225000.0,Pensioner,Higher education,Civil marriage,House / apartment,-16518,365243,1,0,0,0,,2.0,high,medium,lowest,0
1,0,1,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23374,365243,1,0,1,0,,2.0,lowest,highest,lowest,0
1,0,1,0,157500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21774,365243,1,0,0,0,,2.0,medium,highest,lowest,0
0,0,1,0,202500.0,Working,Higher education,Married,House / apartment,-14944,-2060,1,0,0,0,Managers,2.0,high,medium,lowest,0
1,0,1,1,157500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-12676,-1350,1,0,0,0,Waiters/barmen staff,2.0,medium,low,lowest,0
0,0,1,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-8861,-889,1,1,0,0,Drivers,1.0,high,lowest,lowest,0
1,0,1,0,126000.0,State servant,Secondary / secondary special,Married,House / apartment,-14813,-2567,1,0,0,1,Accountants,2.0,low,medium,lowest,0
1,0,1,1,405000.0,State servant,Higher education,Married,House / apartment,-12732,-4520,1,0,0,0,Core staff,3.0,highest,low,low,0
1,0,1,1,112500.0,Working,Higher education,Married,House / apartment,-13656,-2207,1,0,1,0,Sales staff,3.0,lowest,low,lowest,0
1,0,1,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24580,365243,1,0,0,0,,1.0,low,highest,lowest,0
1,0,1,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-10557,-109,1,0,1,0,Laborers,4.0,lowest,lowest,lowest,0
1,1,1,0,373500.0,Working,Secondary / secondary special,Widow,House / apartment,-20785,-1577,1,0,0,0,Accountants,1.0,highest,high,lowest,0
1,1,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19022,-6409,1,0,0,0,Laborers,2.0,low,high,medium,0
0,0,0,0,265581.0,State servant,Higher education,Married,House / apartment,-10834,-988,1,0,0,0,Core staff,2.0,highest,lowest,lowest,0
0,1,1,0,315000.0,Commercial associate,Incomplete higher,Married,House / apartment,-21572,-2170,1,0,0,0,Secretaries,2.0,highest,highest,lowest,0
1,0,0,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012,-584,1,0,0,0,Core staff,1.0,low,high,lowest,1
1,1,0,0,135000.0,Pensioner,Higher education,Married,House / apartment,-20634,365243,1,0,0,0,,2.0,low,high,lowest,0
1,0,1,0,112500.0,Pensioner,Higher education,Married,House / apartment,-22062,365243,1,0,0,0,,2.0,lowest,highest,lowest,0
1,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-22041,-1524,1,1,1,0,Accountants,2.0,medium,highest,lowest,0
1,0,0,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18728,-9325,1,0,0,0,Cooking staff,2.0,lowest,high,medium,0
0,0,1,0,90000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20663,365243,1,0,0,0,,2.0,lowest,high,lowest,1
1,0,1,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16616,-2722,1,1,1,0,Realty agents,3.0,highest,medium,lowest,0
1,0,0,0,108000.0,State servant,Secondary / secondary special,Married,Municipal apartment,-8862,-1625,1,1,0,0,Medicine staff,2.0,lowest,lowest,lowest,0
1,0,1,2,270000.0,Commercial associate,Higher education,Married,House / apartment,-15101,-3860,1,1,0,0,Accountants,4.0,highest,medium,low,0
1,0,1,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18562,-2216,1,0,0,1,Sales staff,2.0,lowest,high,lowest,0
0,0,0,1,247500.0,Working,Higher education,Single / not married,House / apartment,-13816,-1870,1,0,0,0,Laborers,2.0,high,low,lowest,0
1,1,1,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,-18053,-3141,1,0,0,0,Sales staff,2.0,medium,high,lowest,0
1,0,0,0,202500.0,Commercial associate,Higher education,Single / not married,House / apartment,-9799,-1977,1,1,0,1,,1.0,high,lowest,lowest,0
0,0,0,1,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10656,-926,1,1,1,0,Laborers,3.0,medium,lowest,lowest,1
1,1,0,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2.0,highest,low,lowest,1
1,1,1,1,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,1,0,0,0,Core staff,2.0,high,medium,lowest,0
1,0,1,0,139500.0,State servant,Higher education,Married,House / apartment,-17801,-8479,1,0,0,0,Managers,2.0,medium,medium,medium,0
0,1,0,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-15763,-8601,1,1,0,0,Drivers,2.0,lowest,medium,medium,0
0,0,1,1,117000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16809,-5247,1,0,0,0,Laborers,3.0,low,medium,low,0
1,1,1,1,135000.0,Working,Secondary / secondary special,Married,With parents,-10434,-803,1,0,0,0,Laborers,3.0,low,lowest,lowest,0
0,0,0,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242,-508,1,0,0,0,Sales staff,1.0,highest,lowest,lowest,1
0,1,0,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14209,-97,1,0,0,0,Security staff,2.0,low,low,lowest,0
1,0,1,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19310,-1477,1,0,0,0,Cleaning staff,2.0,lowest,high,lowest,0
1,0,1,0,360000.0,Commercial associate,Higher education,Married,House / apartment,-18291,-198,1,0,1,1,,2.0,highest,high,lowest,0
0,0,1,2,225000.0,State servant,Higher education,Married,House / apartment,-12839,-4584,1,0,0,0,,4.0,high,low,low,0
0,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18293,-521,1,1,0,0,,2.0,lowest,high,lowest,0
0,1,0,2,213750.0,State servant,Higher education,Married,House / apartment,-12569,-3748,1,1,1,0,Core staff,4.0,high,low,low,0
1,1,1,2,112500.0,Working,Higher education,Married,House / apartment,-14133,-2695,1,0,0,0,High skill tech staff,4.0,lowest,low,lowest,0
1,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-11010,-4271,1,0,0,0,Laborers,2.0,high,low,low,0
1,0,1,0,81000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19484,-168,1,0,0,0,,1.0,lowest,high,lowest,1
0,0,1,0,180000.0,State servant,Higher education,Married,House / apartment,-24204,-2462,1,0,0,0,Private service staff,2.0,medium,highest,lowest,0
1,0,0,0,270000.0,Working,Incomplete higher,Civil marriage,House / apartment,-15744,-2351,1,1,1,0,,2.0,highest,medium,lowest,0
0,1,1,3,180000.0,Working,Secondary / secondary special,Married,House / apartment,-14192,-824,1,1,1,0,High skill tech staff,5.0,medium,low,lowest,0
1,0,1,1,126000.0,Working,Secondary / secondary special,Married,House / apartment,-11461,-1204,1,1,1,0,Cleaning staff,3.0,low,low,lowest,0
0,0,1,2,207000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12995,-1509,1,0,0,0,Managers,4.0,high,low,lowest,0
1,0,0,0,315000.0,Commercial associate,Higher education,Civil marriage,With parents,-14679,-1282,1,0,0,0,Managers,2.0,highest,medium,lowest,0
0,0,0,1,207000.0,State servant,Higher education,Married,Office apartment,-14891,-2623,1,0,0,0,Core staff,3.0,high,medium,lowest,1
1,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19185,-1901,1,0,1,0,Accountants,2.0,medium,high,lowest,0
0,1,1,0,270000.0,Working,Higher education,Married,House / apartment,-10942,-412,1,0,0,0,Drivers,2.0,highest,lowest,lowest,0
0,1,0,0,81000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21633,365243,1,0,0,0,,2.0,lowest,highest,lowest,0
1,0,1,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14814,-492,1,0,0,0,Laborers,2.0,low,medium,lowest,0
1,0,0,0,108000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22182,365243,1,0,0,0,,1.0,lowest,highest,lowest,1
0,1,0,0,157500.0,Working,Higher education,Married,House / apartment,-20516,-2265,1,0,1,0,Laborers,2.0,medium,high,lowest,0
1,1,0,2,162000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9662,-796,1,1,1,0,Core staff,4.0,medium,lowest,lowest,0
0,1,1,1,450000.0,Working,Higher education,Married,House / apartment,-10454,-1496,1,0,1,0,Managers,3.0,highest,lowest,lowest,0
1,0,1,0,202500.0,Working,Higher education,Married,House / apartment,-19444,-2832,1,0,0,0,,2.0,high,high,lowest,0
1,0,1,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20233,-6218,1,1,1,0,,2.0,high,high,medium,0
1,0,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18902,-219,1,0,1,0,Laborers,2.0,lowest,high,lowest,0
0,1,0,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-12801,-4357,1,0,0,0,Laborers,4.0,high,low,low,1
1,1,1,2,180000.0,Commercial associate,Higher education,Married,House / apartment,-12002,-1251,1,1,0,0,Managers,4.0,medium,low,lowest,0
1,0,0,1,171261.0,State servant,Secondary / secondary special,Single / not married,Rented apartment,-9673,-493,1,0,0,0,Medicine staff,2.0,medium,lowest,lowest,0
1,0,1,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22976,365243,1,0,0,0,,1.0,high,highest,lowest,0
0,1,0,1,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18692,365243,1,0,1,0,,3.0,lowest,high,lowest,0
0,1,1,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10000,-1779,1,0,0,0,Laborers,3.0,low,lowest,lowest,0
1,0,1,0,157500.0,State servant,Higher education,Single / not married,House / apartment,-19984,-917,1,0,0,0,,1.0,medium,high,lowest,0
1,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-21724,-1351,1,0,0,0,,2.0,low,highest,lowest,0
1,1,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20775,365243,1,0,0,0,,2.0,lowest,high,lowest,0
1,0,0,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-19219,-2835,1,0,0,0,,2.0,lowest,high,lowest,0
1,0,1,2,270000.0,Commercial associate,Higher education,Married,House / apartment,-15438,-2197,1,0,0,1,Secretaries,4.0,highest,medium,lowest,0
1,0,1,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,highest,medium,lowest,0
0,1,1,0,405000.0,Working,Secondary / secondary special,Married,House / apartment,-16319,-1086,1,1,0,0,Managers,2.0,highest,medium,lowest,0
0,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23096,365243,1,0,0,0,,2.0,lowest,highest,lowest,0
1,0,1,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22229,365243,1,0,0,0,,2.0,medium,highest,lowest,0
0,1,1,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-18177,-2263,1,1,1,0,Laborers,2.0,lowest,high,lowest,0
1,0,1,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-21016,-14018,1,0,0,0,Medicine staff,2.0,highest,high,highest,0
1,0,0,1,90000.0,Working,Secondary / secondary special,Married,With parents,-10253,-1462,1,0,0,0,Laborers,3.0,lowest,lowest,lowest,0
1,0,1,0,67500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-24153,365243,1,0,0,0,,1.0,lowest,highest,lowest,0
1,1,0,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23324,365243,1,0,1,0,,2.0,low,highest,lowest,1
1,0,1,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19264,-109,1,1,0,0,Sales staff,2.0,lowest,high,lowest,0
0,0,1,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16896,-248,1,0,0,0,Laborers,2.0,highest,medium,lowest,1
0,0,0,0,337500.0,Working,Higher education,Married,House / apartment,-13631,-2538,1,0,1,0,,2.0,highest,low,lowest,0
1,0,0,0,360000.0,Working,Higher education,Married,House / apartment,-17095,-6275,1,0,1,0,Core staff,2.0,highest,medium,medium,0
1,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21579,365243,1,0,0,0,,2.0,low,highest,lowest,0
1,0,1,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-19766,-5764,1,0,0,0,Medicine staff,2.0,lowest,high,low,0
0,1,0,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-18617,-2928,1,0,0,0,Managers,3.0,high,high,lowest,0
0,0,0,0,270000.0,Working,Higher education,Married,Rented apartment,-17300,-408,1,1,1,0,Managers,2.0,highest,medium,lowest,0
1,0,0,1,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10151,-1138,1,0,0,0,Laborers,3.0,low,lowest,lowest,0
1,0,0,1,85500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10217,-900,1,1,0,0,Accountants,3.0,lowest,lowest,lowest,0
1,0,0,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14122,-796,1,0,0,0,Laborers,3.0,medium,low,lowest,0
1,0,1,0,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-16806,-2670,1,0,0,0,Sales staff,1.0,high,medium,lowest,0
1,0,1,0,76500.0,State servant,Secondary / secondary special,Married,House / apartment,-17687,-10647,1,1,1,0,,2.0,lowest,medium,high,0
1,0,0,0,112500.0,Working,Secondary / secondary special,Widow,With parents,-10240,-818,1,1,1,0,Core staff,1.0,lowest,lowest,lowest,0
0,1,1,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-11790,-1222,1,0,0,0,Laborers,3.0,medium,low,lowest,0
1,1,1,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23768,365243,1,0,0,0,,2.0,highest,highest,lowest,0
0,1,1,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17317,-285,1,0,0,0,Drivers,3.0,high,medium,lowest,0
1,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10737,-2078,1,0,0,1,Sales staff,2.0,medium,lowest,lowest,0
1,0,1,0,112500.0,Working,Incomplete higher,Single / not married,Rented apartment,-8347,-1598,1,0,0,0,Laborers,1.0,lowest,lowest,lowest,0
0,1,0,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,-13086,-1931,1,0,1,0,Laborers,3.0,high,low,lowest,0
1,1,1,0,202500.0,Working,Higher education,Married,House / apartment,-15160,-3974,1,0,0,0,High skill tech staff,2.0,high,medium,low,1
0,0,0,0,130500.0,Working,Secondary / secondary special,Single / not married,With parents,-11873,-3504,1,0,0,0,Laborers,1.0,low,low,low,0
1,0,0,0,162000.0,Working,Secondary / secondary special,Married,House / apartment,-16925,-1648,1,1,0,0,High skill tech staff,2.0,medium,medium,lowest,0
1,0,0,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-12047,-3443,1,0,0,0,Managers,3.0,high,low,low,0
1,1,1,0,225000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12075,-1430,1,0,1,0,High skill tech staff,1.0,high,low,lowest,1
1,1,1,0,517500.0,State servant,Higher education,Married,House / apartment,-16274,-7172,1,0,0,0,,2.0,highest,medium,medium,0
1,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21832,365243,1,0,1,0,,2.0,lowest,highest,lowest,1
1,0,0,0,126000.0,State servant,Secondary / secondary special,Married,House / apartment,-18166,-3666,1,1,0,0,Medicine staff,2.0,low,high,low,0
1,0,1,0,112500.0,Working,Secondary / secondary special,Married,Municipal apartment,-20589,-3680,1,0,0,0,,2.0,lowest,high,low,0
0,1,1,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17348,-2420,1,0,0,0,Managers,2.0,highest,medium,lowest,1
1,0,1,3,202500.0,State servant,Higher education,Married,House / apartment,-12904,-1404,1,0,1,0,Core staff,5.0,high,low,lowest,0
1,0,1,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20462,365243,1,0,1,0,,1.0,low,high,lowest,0
0,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-8759,-1437,1,0,0,1,Laborers,2.0,lowest,lowest,lowest,0
1,0,0,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,-20002,-187,1,1,1,1,Laborers,1.0,lowest,high,lowest,0
1,1,0,1,360000.0,Working,Higher education,Widow,House / apartment,-16480,-4023,1,0,0,1,Managers,2.0,highest,medium,low,0
1,0,0,0,180000.0,Working,Secondary / secondary special,Single / not married,With parents,-19047,-2454,1,0,0,0,Laborers,1.0,medium,high,lowest,0
1,1,1,1,135000.0,Working,Higher education,Married,House / apartment,-12071,-721,1,0,0,0,,3.0,low,low,lowest,0
1,1,1,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-10310,-2257,1,0,0,0,Sales staff,3.0,high,lowest,lowest,0
1,0,1,0,135000.0,Pensioner,Higher education,Widow,House / apartment,-22344,365243,1,0,0,0,,1.0,low,highest,lowest,0
0,0,1,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12626,-5295,1,0,0,0,Laborers,1.0,low,low,low,0
1,1,0,0,240750.0,State servant,Secondary / secondary special,Civil marriage,With parents,-17693,-7778,1,0,0,0,Laborers,2.0,high,medium,medium,0
0,1,1,0,495000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-14358,-5373,1,0,0,0,Cooking staff,1.0,highest,low,low,0
1,0,1,0,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,1,0,0,0,Laborers,2.0,low,low,lowest,0
1,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14854,-2452,1,0,1,0,,2.0,medium,medium,lowest,0
1,0,1,0,360000.0,Pensioner,Higher education,Married,House / apartment,-22295,365243,1,0,0,0,,2.0,highest,highest,lowest,0
1,1,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-19101,-1721,1,0,0,0,,2.0,lowest,high,lowest,1
0,1,1,1,135000.0,State servant,Higher education,Married,House / apartment,-8972,-145,1,0,0,1,Core staff,3.0,low,lowest,lowest,1
1,0,1,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20703,-110,1,1,1,0,Laborers,2.0,medium,high,lowest,0
1,0,0,1,90000.0,Working,Secondary / secondary special,Married,With parents,-10253,-1462,1,0,0,0,Laborers,3.0,lowest,lowest,lowest,0
0,0,1,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16081,365243,1,0,1,0,,2.0,lowest,medium,lowest,0
1,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19709,365243,1,0,0,0,,2.0,lowest,high,lowest,0
